USER_ID,Number_Of_Surveys
user_3244,4
user_2184,4
user_2359,4
user_2355,4
user_533,4
user_2077,4
user_2900,3
user_3100,3
user_3202,3
user_3174,3
user_4381,3
user_4671,3
user_786,3
user_814,3
user_961,3
user_1223,3
user_875,3
user_959,3
user_1071,3
user_4857,3
user_4880,3
user_5086,3
user_5146,3
user_5426,3
user_1463,3
user_1468,3
user_1741,3
user_1876,3
user_1942,3
user_1947,3
user_1753,3
user_1956,3
user_2049,3
user_2078,3
user_2148,3
user_2125,3
user_540,3
user_579,3
user_598,3
user_659,3
user_3588,3
user_1422,3
user_3693,3
user_4046,3
user_3874,3
user_4115,3
user_4199,3
user_2513,3
user_2677,3
user_2605,3
user_2600,3
user_2757,3
user_4673,3
user_1529,3
user_389,3
user_1977,3
user_555,3
user_609,3
user_567,3
user_818,3
user_890,3
user_941,3
user_1180,3
user_1085,3
user_1186,3
user_3219,3
user_3579,3
user_5299,3
user_3687,3
user_3937,3
user_3968,3
user_3981,3
user_4062,3
user_4184,3
user_2386,3
user_2312,3
user_2475,3
user_2590,3
user_2834,3
user_1739,3
user_1868,3
user_45,3
user_51,3
user_67,3
user_1961,3
user_2069,3
user_2106,3
user_3522,3
user_1313,3
user_3622,3
user_3818,3
user_4329,3
user_2199,3
user_2422,3
user_2863,3
user_4750,3
user_1564,3
user_1731,3
user_597,3
user_561,3
user_853,3
user_3556,3
user_3744,3
user_3857,3
user_2318,3
user_2395,3
user_2544,3
user_1777,3
user_160,3
user_260,3
user_1373,3
user_3658,3
user_4252,3
user_4203,3
user_2846,3
user_1723,3
user_337,3
user_1093,3
user_3265,3
user_3860,3
user_3944,3
user_2990,2
user_2918,2
user_2925,2
user_2989,2
user_3009,2
user_3026,2
user_3038,2
user_3049,2
user_3121,2
user_3155,2
user_3159,2
user_3093,2
user_3292,2
user_3083,2
user_3156,2
user_3183,2
user_3279,2
user_3319,2
user_4354,2
user_4418,2
user_4378,2
user_4566,2
user_4571,2
user_4580,2
user_4665,2
user_4771,2
user_4455,2
user_4498,2
user_4512,2
user_4543,2
user_4642,2
user_4766,2
user_4820,2
user_712,2
user_731,2
user_764,2
user_772,2
user_789,2
user_812,2
user_960,2
user_975,2
user_800,2
user_839,2
user_914,2
user_1050,2
user_4629,2
user_4980,2
user_4991,2
user_5016,2
user_5052,2
user_5199,2
user_5090,2
user_5197,2
user_5255,2
user_5471,2
user_5488,2
user_5301,2
user_5308,2
user_5321,2
user_5324,2
user_5327,2
user_5338,2
user_5399,2
user_5446,2
user_5451,2
user_5498,2
user_1450,2
user_1515,2
user_1550,2
user_1549,2
user_1575,2
user_1729,2
user_1836,2
user_1851,2
user_1891,2
user_1930,2
user_1949,2
user_1973,2
user_1626,2
user_1649,2
user_1722,2
user_1767,2
user_1787,2
user_1826,2
user_1898,2
user_8,2
user_22,2
user_72,2
user_78,2
user_107,2
user_110,2
user_136,2
user_182,2
user_406,2
user_1916,2
user_1918,2
user_1952,2
user_1997,2
user_2012,2
user_2040,2
user_2083,2
user_2133,2
user_2143,2
user_2153,2
user_437,2
user_439,2
user_443,2
user_527,2
user_537,2
user_543,2
user_558,2
user_585,2
user_603,2
user_634,2
user_635,2
user_649,2
user_693,2
user_710,2
user_697,2
user_3406,2
user_3084,2
user_3372,2
user_3427,2
user_3428,2
user_3439,2
user_3463,2
user_3470,2
user_3524,2
user_3525,2
user_3550,2
user_3553,2
user_3563,2
user_3572,2
user_1208,2
user_1228,2
user_1265,2
user_1277,2
user_1279,2
user_1284,2
user_1300,2
user_1310,2
user_1312,2
user_1314,2
user_1318,2
user_1392,2
user_1409,2
user_3614,2
user_3589,2
user_1289,2
user_1341,2
user_5373,2
user_4943,2
user_4963,2
user_4988,2
user_3641,2
user_3636,2
user_3675,2
user_3683,2
user_3698,2
user_3780,2
user_3765,2
user_3794,2
user_3816,2
user_3832,2
user_3833,2
user_3880,2
user_3955,2
user_3972,2
user_3993,2
user_3837,2
user_4031,2
user_4014,2
user_3901,2
user_4129,2
user_4186,2
user_4207,2
user_4216,2
user_4272,2
user_4280,2
user_4290,2
user_2195,2
user_2213,2
user_2230,2
user_2270,2
user_2279,2
user_2374,2
user_2382,2
user_2400,2
user_2414,2
user_2443,2
user_2484,2
user_2649,2
user_2302,2
user_2360,2
user_2540,2
user_2595,2
user_2627,2
user_2645,2
user_2680,2
user_2751,2
user_2795,2
user_2811,2
user_2867,2
user_2720,2
user_2800,2
user_4361,2
user_4367,2
user_4341,2
user_4397,2
user_4388,2
user_4467,2
user_4488,2
user_4500,2
user_4569,2
user_4815,2
user_4838,2
user_4649,2
user_4677,2
user_4736,2
user_4770,2
user_4777,2
user_1466,2
user_1520,2
user_1522,2
user_1701,2
user_1717,2
user_1582,2
user_1665,2
user_1603,2
user_1829,2
user_1848,2
user_1927,2
user_1693,2
user_1816,2
user_1878,2
user_1880,2
user_4,2
