SURVEY_ID,USER_ID,SURVEY_RESPONDED_DATE,RESPONSE1,RESPONSE2,RESPONSE3,PRODUCT
survey_4,user_2908,8/21/21,"i was able to buy everything on my list",walmart,availability,"Frozen Foods"
survey_10,user_2952,9/27/21,"i found most of the items on my list",walmart,availability,"Frozen Foods"
survey_3,user_2907,8/15/21,"i found most of the items on my list",kroger,brand,"Dairy/Dairy Byproducts"
survey_7,user_2925,9/9/21,"i was able to buy everything on my list",Kroger,Brand,"Frozen Foods"
survey_7,user_2989,9/11/21,"i was able to buy everything on my list","Sam's Club",Price,"Dairy/Dairy Byproducts"
survey_5,user_3026,8/24/21,"i was able to buy everything on my list","sam's club",brand,"Laundry/Home Cleaning"
survey_3,user_3059,8/9/21,"i found most of the items on my list",walmart,price,"Personal Care & Beauty Health"
survey_3,user_3108,8/15/21,"i was able to buy everything on my list",costco,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_3,user_3181,8/11/21,"i found most of the items on my list",walmart,availability,"Frozen Foods"
survey_2,user_3244,8/2/21,"i was able to buy everything on my list",target,availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_2,user_3244,8/2/21,"i was able to buy everything on my list",target,availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_9,user_3156,9/23/21,"i was able to buy everything on my list","sam's club",availability,"Dairy/Dairy Byproducts"
survey_2,user_3322,8/3/21,"i was able to buy everything on my list",target,price,"Personal Care & Beauty Health"
survey_9,user_4338,9/25/21,"i was able to buy everything on my list",walmart,availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_4,user_4413,8/21/21,"i was able to buy everything on my list","sam's club",availability,Beverages
survey_1,user_4399,8/1/21,"i found most of the items on my list",kroger,price,Bakery/Bread
survey_1,user_4399,8/1/21,"i found most of the items on my list",kroger,availability,"Frozen Foods"
survey_2,user_4539,8/2/21,"i found most of the items on my list",target,availability,"Personal Care & Beauty Health"
survey_3,user_4566,8/10/21,"i found most of the items on my list",target,brand,"Personal Care & Beauty Health"
survey_3,user_4602,8/9/21,"i was able to buy everything on my list",walmart,availability,"Personal Care & Beauty Health"
survey_5,user_4635,8/24/21,"i found most of the items on my list",walmart,brand,"Personal Care & Beauty Health"
survey_2,user_4737,8/2/21,"i was able to buy everything on my list",walmart,price,"Personal Care & Beauty Health"
survey_6,user_4785,9/3/21,"i found most of the items on my list",Target,Availability,Bakery/Bread
survey_5,user_4484,8/24/21,"i found most of the items on my list",walmart,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_7,user_4588,9/7/21,"i was able to buy everything on my list",Costco,Brand,"Laundry/Home Cleaning"
survey_10,user_4676,9/28/21,"i found only a few of the items on my list",walmart,price,Bakery/Bread
survey_8,user_4638,9/19/21,"i was able to buy everything on my list",kroger,availability,"Personal Care & Beauty Health"
survey_4,user_4766,8/21/21,"i was able to buy everything on my list",walmart,price,"Canned Goods"
survey_10,user_4795,9/29/21,"i was able to buy everything on my list",walmart,brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_10,user_4795,9/29/21,"i was able to buy everything on my list",walmart,brand,"Personal Care & Beauty Health"
survey_10,user_4795,9/29/21,"i was able to buy everything on my list",walmart,brand,"Cereal (Ready To Eat)"
survey_10,user_4795,9/29/21,"i was able to buy everything on my list",walmart,brand,Bakery/Bread
survey_2,user_4810,8/2/21,"i was able to buy everything on my list",walmart,availability,Beverages
survey_3,user_731,8/12/21,"i was able to buy everything on my list",costco,availability,"Dairy/Dairy Byproducts"
survey_3,user_960,8/15/21,"i found most of the items on my list",albertsons,availability,Beverages
survey_3,user_1015,8/15/21,"i was able to buy everything on my list",kroger,price,"Dairy/Dairy Byproducts"
survey_4,user_1130,8/20/21,"i was able to buy everything on my list",kroger,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
